key,updateTime,step,resolutionPercentage,status,resolution,draftMode,key:claim
# Base entity
trackinglog-01,2020/08/15 12:45,"Lorem ipsum dolor sit ame",10,PENDING,null,false,claim-01
#updateTime - variations
trackinglog-02,2012/07/02 0:00,"Lorem ipsum dolor sit ame",10,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,claim-12
trackinglog-03,2000/01/01 0:00,"Lorem ipsum dolor sit ame",12,PENDING,"L",false,claim-12
trackinglog-04,2000/01/01 0:01,"Lorem ipsum dolor sit ame",14,PENDING,"Lo",false,claim-12
trackinglog-05,2021/12/31 23:59,"Lorem ipsum dolor sit ame",16,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",false,claim-12
trackinglog-06,2022/01/01 0:00,"Lorem ipsum dolor sit ame",18,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",false,claim-12
trackinglog-07,2020/08/16 12:59,"Lorem ipsum dolor sit ame",100,ACCEPTED,"Doors problem solved",false,claim-02
trackinglog-08,2022/01/01 0:00,"Lorem ipsum dolor sit ame",80,PENDING,"Doors problem solved",false,claim-06
trackinglog-09,2022/01/01 0:00,"Lorem ipsum dolor sit ame",100,ACCEPTED,"Doors problem solved",false,claim-06
trackinglog-10,2022/01/01 0:00,"Lorem ipsum dolor sit ame",100,ACCEPTED,"Doors problem solved",true,claim-06
trackinglog-11,2022/01/01 0:00,"Lorem ipsum dolor sit ame",20,PENDING,"Doors problem solved",true,claim-07
trackinglog-12,2022/01/01 0:00,"Lorem ipsum dolor sit ame",25,PENDING,"Doors problem solved",false,claim-15
# step - variations
trackinglog-13,2020/08/15 12:46,"L",11,PENDING,null,false,claim-01
trackinglog-14,2020/08/15 12:47,"Lo",20,PENDING,null,true,claim-01
trackinglog-15,2020/08/15 12:48,"Lorem ipsum dolor sit amet, consectetur adipiscin",30,PENDING,null,false,claim-01
trackinglog-16,2020/08/15 12:49,"Lorem ipsum dolor sit amet, consectetur adipiscing",40,PENDING,null,false,claim-01
trackinglog-17,2020/08/15 12:50,"โลเร็ม อิปซัม",50,PENDING,null,false,claim-01
trackinglog-18,2020/08/15 12:51,"洛伦·伊普森",60,PENDING,null,true,claim-01
trackinglog-19,2020/08/15 12:52,"<marquee>Hacked</marquee>",70,PENDING,null,false,claim-01
trackinglog-20,2020/08/15 12:53,"<script>alert(‘Hacked!’);</script>",80,PENDING,null,false,claim-01
trackinglog-21,2020/08/15 12:54,"' or 'A' = 'A ",90,PENDING,null,false,claim-01
# resolutionPercentage - variatons
trackinglog-22,2020/08/15 12:55,"Lorem ipsum dolor sit ame",0,PENDING,null,false,claim-02
trackinglog-23,2020/08/15 12:56,"Lorem ipsum dolor sit ame",1,PENDING,null,false,claim-02
trackinglog-24,2020/08/15 12:57,"Lorem ipsum dolor sit ame",99,PENDING,null,false,claim-02
trackinglog-25,2020/08/15 12:58,"Lorem ipsum dolor sit ame",100,REJECTED,"Claim rejected, invalid format",true,claim-01
# status - variations
trackinglog-26,2020/08/15 12:59,"Lorem ipsum dolor sit ame",100,ACCEPTED,"Doors problem solved",false,claim-02
trackinglog-27,2020/08/15 12:59,"Lorem ipsum dolor sit ame",99,PENDING,"Doors problem solved",false,claim-02
trackinglog-28,2020/08/15 12:59,"Lorem ipsum dolor sit ame",100,REJECTED,"Doors problem solved",false,claim-02
# resolution - variations
trackinglog-29,2020/08/15 13:01,"Lorem ipsum dolor sit ame",10,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,claim-03
trackinglog-30,2020/08/15 13:02,"Lorem ipsum dolor sit ame",12,PENDING,"L",false,claim-03
trackinglog-31,2020/08/15 13:03,"Lorem ipsum dolor sit ame",14,PENDING,"Lo",false,claim-03
trackinglog-32,2020/08/15 13:04,"Lorem ipsum dolor sit ame",16,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",false,claim-03
trackinglog-33,2020/08/15 13:05,"Lorem ipsum dolor sit ame",18,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",false,claim-03
trackinglog-34,2020/08/15 13:06,"Lorem ipsum dolor sit ame",20,PENDING,"โลเร็ม อิปซัม",false,claim-03
trackinglog-35,2020/08/15 13:07,"Lorem ipsum dolor sit ame",22,PENDING,"洛伦·伊普森",false,claim-03
trackinglog-36,2020/08/15 13:08,"Lorem ipsum dolor sit ame",24,PENDING,"<marquee>Hacked</marquee>",false,claim-03
trackinglog-37,2020/08/15 13:09,"Lorem ipsum dolor sit ame",26,PENDING,"<script>alert(‘Hacked!’);</script>",false,claim-03
trackinglog-38,2020/08/15 13:10,"Lorem ipsum dolor sit ame",28,PENDING,"' or 'A' = 'A ",false,claim-03
trackinglog-39,2020/08/15 13:11,"Lorem ipsum dolor sit ame",100,REJECTED,"L",false,claim-03
